geoid,latitude,longitude
99903,55.82755496839805,-132.061199266704
99918,55.951408013931356,-132.7484806835235
99919,55.650399133647525,-132.5001998265361
99921,55.45650428262278,-132.79358973346694
99922,55.30214428958816,-133.03244445252457
99923,55.97796541750106,-130.03671054974933
99925,55.55765928055584,-132.97624462053417
99926,55.12653499482393,-131.4729124684548
99927,56.251691628079286,-133.38007540230623
99929,56.369174584832656,-131.95815616489116
99502,61.162251106949874,-149.98811323412693
99503,61.90800526309031,-156.85749668051608
99504,61.20401465342017,-149.7470745468771
99505,61.265718229067524,-149.63173382316754
99506,61.26323099478104,-149.80536967508087
99507,61.14974552384775,-149.7759727094383
99508,61.20072367824507,-149.8144534859608
99510,70.1790339786229,-150.0079208581348
99513,61.214771856474876,-149.88565769019007
99515,61.116386482787355,-149.89198728687398
99516,61.071341360009434,-149.71844563937367
99517,61.19019379581299,-149.93709707145806
99518,61.159563599123764,-149.88481649743002
99519,68.94272981579647,-146.32949092642306
99540,60.98579174013316,-149.4299529786946
99546,51.84409793854257,-176.63089026462137
99547,52.229673497520835,-174.2097096358793
99548,56.24482211199125,-158.75783728597995
99549,56.941526357361994,-158.6016892839515
99550,57.90100902334925,-153.02455164326253
99551,60.90925549467938,-161.42029253192703
99552,60.90988044024752,-161.2266689729065
99553,54.12854556740589,-165.80583545206196
99554,62.69441700637216,-164.64751253400854
99555,59.26832408720581,-158.62826613137145
99556,59.86788420897902,-151.49508430481387
99557,61.44111685311647,-156.01862895567152
99558,62.63824277729354,-160.2178637559101
99559,60.65376254166368,-161.90473418406538
99561,60.15135653894482,-164.25201479897117
99563,61.52913222801415,-165.59081059896852
99564,56.30059125700429,-158.40898784936348
99565,56.30404804220082,-158.52864680730033
99566,61.28100073620817,-142.7897928316728
99567,61.2882517612038,-148.89440622716927
99568,60.21181659367132,-151.3962278613832
99569,58.81753411388097,-158.5286895811078
99571,55.39914956925615,-162.418728397711
99572,60.50798800084854,-149.93749509892896
99573,61.62261184587365,-145.9988897622678
99574,60.61476956970664,-146.1195923797901
99575,61.843893003074136,-158.10826651485618
99576,59.989102950046906,-158.39397253171865
99577,61.19705297343197,-149.24665089746796
99578,60.215856885961855,-162.03147685539773
99579,58.20264425822668,-157.4095564666921
99580,59.364982628439044,-157.49239615171112
99581,62.781787614283395,-164.53346648233583
99583,54.84691475021395,-163.40272405366832
99585,61.92874221472883,-162.26804850313314
